cod_ibge,municipio,uf,populacao_censo_2022,volume
3550308,São Paulo,SP,11451999,I
3304557,Rio de Janeiro,RJ,6211223,I
5300108,Brasília,DF,2817381,I
2304400,Fortaleza,CE,2428708,I
2927408,Salvador,BA,2417678,I
3106200,Belo Horizonte,MG,2315560,I
1302603,Manaus,AM,2063689,I
4106902,Curitiba,PR,1773718,I
2611606,Recife,PE,1488920,I
5208707,Goiânia,GO,1437366,I
4314902,Porto Alegre,RS,1332845,I
1501402,Belém,PA,1303403,I
3518800,Guarulhos,SP,1291771,I
3509502,Campinas,SP,1139047,I
2111300,São Luís,MA,1037775,I
2704302,Maceió,AL,957916,I
5002704,Campo Grande,MS,898100,I
3304904,São Gonçalo,RJ,896744,I
2211001,Teresina,PI,866300,I
2507507,João Pessoa,PB,833932,I
3548708,São Bernardo do Campo,SP,810729,I
3301702,Duque de Caxias,RJ,808161,I
3303500,Nova Iguaçu,RJ,785867,I
2408102,Natal,RN,751300,I
3547809,Santo André,SP,748919,I
3534401,Osasco,SP,728615,I
3552205,Sorocaba,SP,723682,I
3170206,Uberlândia,MG,713224,I
3543402,Ribeirão Preto,SP,698642,I
3549904,São José dos Campos,SP,697054,I
5103403,Cuiabá,MT,650877,I
2607901,Jaboatão dos Guararapes,PE,644037,I
3118601,Contagem,MG,621863,I
4209102,Joinville,SC,616317,I
2910800,Feira de Santana,BA,616272,I
2800308,Aracaju,SE,602757,I
4113700,Londrina,PR,555965,I
3136702,Juiz de Fora,MG,540756,I
4205407,Florianópolis,SC,537211,I
3502606,Aparecida D Oeste,SP,527796,I
3205002,Serra,ES,520653,I
3301009,Campos dos Goytacazes,RJ,483540,I
3300456,Belford Roxo,RJ,483087,I
3303302,Niterói,RJ,481749,I
3549805,São José do Rio Preto,SP,480393,I
1500800,Ananindeua,PA,478778,I
3205200,Vila Velha,ES,467722,I
4305108,Caxias do Sul,RS,463501,I
1100205,Porto Velho,RO,460434,I
3530607,Mogi das Cruzes,SP,451505,I
3525904,Jundiaí,SP,443221,I
1600303,Macapá,AP,442933,I
3305109,São João de Meriti,RJ,440962,I
3538709,Piracicaba,SP,423323,I
2504009,Campina Grande,PB,419379,I
3548500,Santos,SP,418608,I
3529401,Mauá,SP,418261,I
3143302,Montes Claros,MG,414240,I
1400100,Boa Vista,RR,413486,I
3106705,Betim,MG,411846,I
4115200,Maringá,PR,409657,I
5201108,Anápolis,GO,398869,I
3513801,Diadema,SP,393237,I
3510609,Carapicuíba,SP,386984,I
2611101,Petrolina,PE,386791,I
3506003,Bauru,SP,379146,I
2604106,Caruaru,PE,378048,I
2933307,Vitória da Conquista,BA,370879,I
3523107,Itaquaquecetuba,SP,369275,I
1200401,Rio Branco,AC,364756,I
4202404,Blumenau,SC,361261,I
4119905,Ponta Grossa,PR,358371,I
2303709,Caucaia,CE,355679,I
3201308,Cariacica,ES,353491,I
3516200,Franca,SP,352536,I
2609600,Olinda,PE,349976,I
3541000,Praia Grande,SP,349935,I
4104808,Cascavel,PR,348051,I
4304606,Canoas,RS,347657,I
2610707,Paulista,PE,342167,I
3170107,Uberaba,MG,337836,I
1506807,Santarém,PA,331942,I
3551009,São Vicente,SP,329911,I
3154606,Ribeirão das Neves,MG,329794,I
4125506,São José dos Pinhais,PR,329628,I
4314407,Pelotas,RS,325685,I
3205309,Vitória,ES,322869,I
3505708,Barueri,SP,316473,I
3554102,Taubaté,SP,310739,I
3552502,Suzano,SP,307429,I
1721000,Palmas,TO,302692,I
2905701,Camaçari,BA,300372,I
5108402,Várzea Grande,MT,300078,I
3526902,Limeira,SP,291869,I
3518701,Guarujá,SP,287634,I
2307304,Juazeiro do Norte,CE,286120,I
4108304,Foz do Iguaçu,PR,285415,I
3552403,Sumaré,SP,279545,I
3303906,Petrópolis,RJ,278881,I
3513009,Cotia,SP,274413,I
3552809,Taboão da Serra,SP,273542,I
2105302,Imperatriz,MA,273110,I
4316907,Santa Maria,RS,271735,I
4216602,São José,SC,270299,I
1505536,Parauapebas,PA,267836,I
1504208,Marabá,PA,266533,I
4309209,Gravataí,RS,265074,I
2408003,Mossoró,RN,264577,I
4208203,Itajaí,SC,264054,I
3306305,Volta Redonda,RJ,261563,I
3127701,Governador Valadares,MG,257171,I
3520509,Indaiatuba,SP,255748,I
3548906,São Carlos,SP,254857,I
4204202,Chapecó,SC,254785,I
2403251,Parnamirim,RN,252716,I
